Order ID,SKU,Amount,Qty
403-4242957-8599555,JNE3405-KR-L,399.0,1
406-8879861-2081117,JNE3405-KR-L,399.0,1
405-9112089-3379536,JNE3405-KR-L,,0
171-3625443-6505905,JNE3797-KR-L,725.0,1
402-9532672-5385917,JNE3405-KR-L,399.0,1
407-6146457-8788352,JNE3797-KR-M,725.0,1
171-6783343-9758701,JNE3405-KR-L,399.0,1
408-3870331-6287517,JNE3405-KR-L,399.0,1
403-9105351-8453114,JNE3405-KR-L,399.0,1
171-8027093-8553945,JNE3405-KR-L,399.0,1
402-1572540-8678700,JNE3797-KR-M,725.0,1
171-3953233-6135505,JNE3405-KR-L,399.0,1
408-3137526-3167563,JNE3405-KR-L,0.0,1
407-3257788-4892350,JNE3405-KR-L,399.0,1
171-8504713-0689107,JNE3797-KR-L,725.0,1
402-7676083-2016323,JNE3797-KR-M,725.0,1
408-7264030-5002700,J0230-SKD-M,1112.0,1
405-1990663-9192363,JNE3405-KR-L,399.0,1
408-0987613-5525924,J0230-SKD-M,,0
402-4832715-9188334,JNE3405-KR-L,399.0,1
404-7769149-3935539,JNE3797-KR-L,725.0,1
408-3749874-2210712,JNE3405-KR-L,399.0,1
402-1430516-9436331,JNE3405-KR-L,399.0,1
171-6983189-6050757,J0230-SKD-M,1112.0,1
404-4807357-2693108,JNE3405-KR-L,399.0,1
408-7721306-8516366,JNE3405-KR-L,0.0,1
402-0365208-0109142,J0230-SKD-M,1112.0,1
405-6250851-2090735,JNE3405-KR-L,399.0,1
408-4215371-7192332,JNE3405-KR-L,399.0,1
403-0850388-6142751,JNE3405-KR-L,399.0,1
405-7165029-6882709,JNE3405-KR-L,,0
402-1445058-5329108,JNE3797-KR-M,725.0,1
404-8066204-0050714,JNE3405-KR-L,399.0,1
402-5934848-4963539,JNE3405-KR-L,399.0,1
408-4559676-3585900,JNE3797-KR-L,725.0,1
402-2835706-4302716,J0230-SKD-M,1146.0,1
402-3348716-6804357,JNE3405-KR-L,,0
403-6265270-2449952,JNE3405-KR-L,399.0,1
408-8815736-2010734,JNE3797-KR-M,725.0,1
402-8297736-0672305,J0230-SKD-M,1112.0,1
408-2453599-7697145,JNE3797-KR-L,725.0,1
407-0587492-6776324,JNE3797-KR-L,725.0,1
404-1769970-9261950,J0230-SKD-M,1112.0,1
405-7824994-9497108,J0230-SKD-M,1112.0,1
406-2797935-5850720,J0230-SKD-M,1112.0,1
